cf_class_id,Anon Student Id,Session Id,0
c10,s119,yksuk7pbcco8nyxyboveatr7uvg:1661367072758,44
c10,s137,0jxjezr842bs4zt9rfqwrzt-hca:1667502925792,163
c10,s137,20pb-d6exydaotwo8cvjcbc4onk:1661194140887,81
c10,s137,3cj1jgov_vv5ynlot15pfhuchgk:1666813138322,88
c10,s137,4syfifzg0-scdo50z40tinvucau:1669924521581,176
c10,s137,aprlfpuskpibadps_nakwv7l0o0:1670010488549,68
c10,s137,cdr28veh7l-ae4wfemvug7khmnc:1661885250665,20
c10,s137,dhrj0o7vsfmu0kkmjacobz_kgfy:1666897339197,251
c10,s137,ekgl_enndpvec30bbut0wthjyly:1670877446610,68
c10,s137,eolmkdnxnjl43cxim1afgqbtw9k:1662058372682,31
c10,s137,ezjypbk5cdb38uux_qrl2sfke2c:1667853470866,105
c10,s137,htbk2qte8ehuhsupiuvaz5a1qfm:1664308085948,1
c10,s137,htbk2qte8ehuhsupiuvaz5a1qfm:1664308260511,3
c10,s137,ij3n7s0il-bazwzew1cbs0puejo:1661367048326,33
c10,s137,k-wkv1vjbcobftwzoc9ywl8tej8:1661971712682,17
c10,s137,k_lhe5ouxhpttlpsgbvbzaxuw-o:1668110549396,9
c10,s137,mvcso56wodylspsf-mitbtepxdk:1661280699954,3
c10,s137,pze44dxwltygvlctgl_9u-mtj6e:1669926089534,117
c10,s137,q05m5jg8uh2hy1_xf6ws9tiwwle:1667331022208,204
c10,s137,rf9namoj0u__ms8ump4nfdhh83w:1661801346926,14
c10,s137,rfu8e0i910zfpci0ucbtsoemozk:1666725099142,338
c10,s137,t4g5zoyhtcx6sqmf5tk7fxh21x8:1666294159473,348
c10,s137,tuvzoxlfm58ls35_2t0yqvmz88e:1660592606403,26
c10,s137,ty84rovlevsqm_ogxhxdzkoio8k:1663960772681,104
c10,s137,utngvruilkrwcthhp-tfcnzr_xk:1664479031152,7
c10,s137,wdx6t2l7qmzd_mmgrxfp5udvsh4:1663269036596,159
c10,s137,wnyslrmvsrkss_bi4tlyp3nwdua:1666727174729,58
c10,s139,0v4hmnp4cxjchwwtgbzmyftiawq:1661893332311,27
c10,s139,7ogcurgfeoicpztlxcqpa1k4a1y:1670214187328,109
c10,s139,av4fl2buort-qqnyvt-jycrcu9k:1661971694893,61
c10,s139,e0dodvapaehj8pkw2pud4igg7g0:1667853508110,117
c10,s139,ez6rlwc9bgl8zjeryg9i2z8uh_m:1662424687046,95
c10,s139,gucmuyuvsic0xitlfecmvuygkeq:1670385232343,265
c10,s139,lfhfjemswqt3ndok34cea6afequ:1667523009868,28
c10,s139,lxeb04h3ytgiurz1d1lumm_volo:1670877230023,92
c10,s139,qrifzaodcrzm-nxrghc99eawatg:1666637253348,101
c10,s139,qxwlpweizhqj6orfm8vm-4uoewm:1670217747414,3
c10,s139,skegjb2nfnvrzrxdfrhq9v5raww:1666293829034,197
c10,s139,swlzecl7jgdbmm5yr8zbyppfoke:1664218271648,41
c10,s139,vqnrs68q8bcqruqguz1e5r_fppq:1670010516165,27
c10,s139,wqv5whkkn2zuurhw7css2ge01hk:1670271673562,22
c10,s139,xcgecefipvfivxx9ohhujjtidce:1666988913454,17
c10,s147,-8kbblntqblun_cqp_5vgmgemdu:1660935545432,269
c10,s147,2gelkjc0nsqe6ne0o6tc4pzlng4:1661885245059,74
c10,s147,2mus-vq1z7b6cookxpir1sm5xti:1661367037900,39
c10,s147,2w2fntt3fuckgwjyt6r8f0totoy:1668110654894,516
c10,s147,4t4uqtsclb075o5fabgfyk_mryk:1663357461219,19
c10,s147,63pfmbsf43jw7kvehuvhttwuiqo:1667853857891,86
c10,s147,7pzruqv-ec5bmhpxwv4aho6fq5q:1663095371133,6
c10,s147,7saeqb2i6d5pnjndekjy9v8xiny:1666897318321,310
c10,s147,8rchnh-kzpbthiwqmapwppcbn1u:1661971640696,147
c10,s147,axl50fj9eaiyxfbpix2t23hofj8:1661801358254,35
c10,s147,bxqfjfz8npuswv0olcadls1v0e0:1663269822892,71
c10,s147,bxqfjfz8npuswv0olcadls1v0e0:1663270234417,97
c10,s147,dh_yghy4oftsdueu3s5zzaerhfk:1667853468521,37
c10,s147,dhabcwfqv_sordlew9nis13xs-m:1666121338403,239
c10,s147,fp0wjkqsawu3x8hfg-yxsmu-2ok:1666813824662,29
c10,s147,gf9wxydwbmnxjwkn97efpsnlkse:1663184789208,64
c10,s147,h2zaqvhyxwhhqxttuai90alu19u:1664307855232,19
